Product,Product type,Issuer,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
AAPL 2 170927,Bond,APPLE INC.,AAPL 2 09/17/27,Information Technology,Information Technology,Information Technology,Information Technology,No Region,No Country
AAPL 2.85 230223,Bond,APPLE INC.,AAPL 2.85 02/23/23,Information Technology,Information Technology,Information Technology,Information Technology,North America,US
AAPL 3 200627,Bond,APPLE INC.,AAPL 3 06/20/27,Information Technology,Information Technology,Information Technology,Information Technology,North America,US
ABBV 2.125 171128,Bond,ABBVIE INC,ABBV 2 1/8 11/17/28,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABESM 2.375 270927 S,Bond,ABERTIS INFRAESTRUCTURAS SA,ABESM 2 3/8 09/27/27,Real Estate,Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,Western Europe,ES
ABEST 17 A S,Bond,No Issuer,ABEST 17 A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ABIBB 0.8 200423 S,Bond,AnheuserBusch InBev,ABIBB 0.8 04/20/23,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,BE
ABIBB 1.125 010727 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1 1/8 07/01/27,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,BE
ABIBB 1.15 220127 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1.15 01/22/27,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,BE
ABIBB 1.5 180430 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 1 1/2 04/18/30,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,No Region,No Country
ABIBB 2 170328 S,Bond,ANHEUSER BUSCH INBEV NV,ABIBB 2 03/17/28,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,No Region,No Country
ABNAMR 0.5 30/07/2016,Bond,ABN AMRO,ABNAMR 0.5 30/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR 1 19/07/2016,Bond,ABN AMRO,ABNAMR 1 19/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR ZC 22/06/2016,Bond,ABN AMRO,ABNAMR ZC 22/06/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNAMR ZC 30/07/2016,Bond,ABN AMRO,ABNAMR ZC 30/07/2016,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABNANV 0.25 031221 S,Bond,ABN AMRO Bk NV,ABNANV 0 1/4 12/03/21,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.625 310522 S,Bond,ABN AMRO Bk NV,ABNANV 0 5/8 05/31/22,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.875 150124 S,Bond,ABN AMRO Bk NV,ABNANV 0 7/8 01/15/24,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 0.875 220425 S,Bond,ABN AMRO Bk NV,ABNANV 0 7/8 04/22/25,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 1 160425 S,Bond,ABN AMRO Bk NV,ABNANV 1 04/16/25,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 2.125 261120 S,Bond,ABN AMRO Bk NV,ABNANV 2 1/8 11/26/20,Financials,Financials,Financials,Financials,Western Europe,NL
ABNANV 4.125 280322 S,Bond,No Issuer,ABNANV 4 1/8 03/28/22,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,NL
ABS CPR FLT,Bond,No Issuer,ABS CPR FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS CPR FXD,Bond,No Issuer,ABS CPR FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS FWD FLT,Bond,No Issuer,ABS FWD FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS FWD FXD,Bond,No Issuer,ABS FWD FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS LAST FLT,Bond,No Issuer,ABS LAST FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS LAST FXD,Bond,No Issuer,ABS LAST FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS PSA FLT,Bond,No Issuer,ABS PSA FLT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ABS PSA FXD,Bond,No Issuer,ABS PSA FXD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ACAFP 0.375 211025 S,Bond,CR AGRICOLE SA,ACAFP 0 3/8 10/21/25,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 0.75 051223 S,Bond,CR AGRICOLE SA,ACAFP 0 3/4 12/05/23,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 0.875 190122 S,Bond,Cr Agricole SA,ACAFP 0 7/8 01/19/22,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 1.375 030527 S,Bond,Cr Agricole SA,ACAFP 1 3/8 05/03/27,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 1.75 050329 S,Bond,Cr Agricole SA,ACAFP 1 3/4 03/05/29,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 2.375 200524 S,Bond,Cr Agricole SA,ACAFP 2 3/8 05/20/24,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP 2.5 290829 S,Bond,CR AGRICOLE SA,ACAFP 2 1/2 08/29/29,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP VAR 270948 S,Bond,CREDIT AGRICOLE ASSRNCES,ACAFP 4 3/4 09/27/48,Financials,Financials,Financials,Financials,No Region,No Country
ACAFP VAR 290349,Bond,CR AGRICOLE SA,ACAFP 8.2 03/29/49,Financials,Financials,Financials,Financials,Western Europe,FR
ACAFP VAR 291049 S,Bond,CR AGRICOLE SA,ACAFP 7 7/8 10/29/49,Financials,Financials,Financials,Financials,Western Europe,FR
ACEIM 0 280925 S,Bond,ACEA SPA,ACEIM 0 09/28/25,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACEIM 0.25 280730 S,Bond,ACEA SPA,ACEIM 0 1/4 07/28/30,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACEIM 3.875 240131 S,Bond,ACEA SPA,ACEIM 3 7/8 01/24/31,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,IT
ACGB 1.75 211120 S,Bond,AUSTRALIA,ACGB 1 3/4 11/21/20,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 210424 S,Bond,AUSTRALIA,ACGB 2 3/4 04/21/24,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 210635 S,Bond,AUSTRALIA,ACGB 2 3/4 06/21/35,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 211019 S,Bond,AUSTRALIA,ACGB 2 3/4 10/21/19,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 2.75 211127 S,Bond,AUSTRALIA,ACGB 2 3/4 11/21/27,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 210425 S,Bond,AUSTRALIA,ACGB 3 1/4 04/21/25,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 210429 S,Bond,AUSTRALIA,ACGB 3 1/4 04/21/29,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 3.25 211018 S,Bond,AUSTRALIA,ACGB 3 1/4 10/21/18,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.25 210426 S,Bond,AUSTRALIA,ACGB 4 1/4 04/21/26,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.25 210717 S,Bond,AUSTRALIA,ACGB 4 1/4 07/21/17,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.5 150420 S,Bond,AUSTRALIA,ACGB 4 1/2 04/15/20,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 4.75 210427 S,Bond,AUSTRALIA,ACGB 4 3/4 04/21/27,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
ACGB 5.25 150319 S,Bond,AUSTRALIA,ACGB 5 1/4 03/15/19,Utilities,Utilities,Independent Power and Renewable Electricity Produc,Independent Power and Renewable Electricity Produc,Australia,AU
