Product,Product description,GICS sector,GICS industry group,GICS industry,GICS sub-industry,Region,Country
Unknown Equity Product,Unknown Equity Product Description,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Unknown Product Region,Unknown Product Country
JP MORGAN US GROWTH FUND,JPMorgan Funds - US Growth Fund C (acc) - USD,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
LIQUID EURO CORPORATES B,Euro Area Liquid Corporates B,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
UNA.NL,Unilever NV,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,GB
IBEX 35,IBEX 35 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
FTSE JSE TOP 40 C TR,JSE Capped Top 40 CAPI total return index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
LIQUID EURO CORPORATES 2 A,LIQUID EURO CORPORATES 2 A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
TTE.FR,TOTAL SA,Energy,Energy,"Oil, Gas & Consumable Fuels","Oil, Gas & Consumable Fuels",Western Europe,FR
TXN.US,TEXAS INSTRUMENT,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
STM.FR,STMicroelectronics NV,Information Technology,Information Technology,Information Technology,Information Technology,Western Europe,CH
DE.US,Deere & Co,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
ALV.DE,Allianz SE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
ORA.FR,Orange SA,Communication Services,Telecommunication Services,Telecommunication Services,Telecommunication Services,Western Europe,FR
MDAX,Deutsche Borse AG DAX Mid-Cap Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
FTSE ASE 25,FTSE/Athens Stock Exchange Large Cap Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,GR
LIQUID EURO SOVEREIGN A,Euro Government Liquidity Fund A,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
AB SICAVI EUR EQUITY PORTFOLIO S,AB SICAVI - European Equity Portfolio S Acc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
FBM KLCI,FTSE Bursa Malaysia KLCI Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
AIG.US,AMERICAN INTL GROUP,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
PUB.FR,Publicis Groupe SA,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,FR
UG.FR,Peugeot SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
MT.NL,ArcelorMittal SA,Industrials,Industrials,Industrials,Industrials,Western Europe,LU
GLE.FR,Societe Generale SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
HEIA.NL,Heineken NV,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,Western Europe,NL
MUV2.DE,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,DE
LOW.US,Lowe's Cos Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
S&P 500,Standard & Poor's 500 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
KER.FR,Kering SA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,FR
OR.FR,L'Oreal SA,Consumer Staples,Consumer Staples,Consumer Staples,Consumer Staples,Western Europe,FR
4063.JP,Shin-Etsu Chemical Co Ltd,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
TEF.ES,Telefonica SA,Communication Services,Telecommunication Services,Telecommunication Services,Telecommunication Services,Western Europe,ES
PEPSICO INC.,Pepsico Inc.,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
FTSE JSE TOP 40 TR,South Africa JSE Top 40 total return index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
RTS,Russian RTS Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
DB1.DE,Deutsche Boerse AG,Financials,Banks,Banks,Banks,Western Europe,DE
CL.US,Colgate-Palmolive Co,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
SIE.DE,Siemens AG,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,Western Europe,DE
LIQUID EURO CORPORATES A1,Euro Area Liquid CorporatesA,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,LU
CA.FR,Carrefour SA,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Western Europe,FR
FTSE JSE TOP 40 C,FTSE/JSA capped top 40 total return index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
BNP.FR,BNP Paribas SA,Financials,Banks,Banks,Banks,Western Europe,FR
S&P TSX 60,S&P TSX 60 Index,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
ENI.IT,Eni SpA,Consumer Discretionary,Consumer Services,Consumer Services,Consumer Services,Western Europe,IT
AZO.US,AutoZone Inc,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,North America,US
DSY.FR,Dassault Systemes SE,Information Technology,Information Technology,Information Technology,Information Technology,Western Europe,FR
EQ ETF,EQ ETF,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,No Region,No Country
RMS.FR,Hermes International,Consumer Staples,Household & Personal Products,Personal Products,Personal Products,Western Europe,FR
NS1.CH,NS1.CH - NESTLE,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Western Europe,CH
4452.JP,Kao Corp,No GICS Sector,No GICS Sector,No GICS Sector,No GICS Sector,Japan,JP
